Date,Close
11/30/1986,2568.300049
12/31/1986,2553.300049
1/31/1987,2877.899902
2/28/1987,2713.800049
3/31/1987,2659.899902
4/30/1987,2950.800049
5/31/1987,3178.199951
6/30/1987,3479.199951
7/31/1987,3611.699951
8/31/1987,3943.600098
9/30/1987,2204.5
10/31/1987,2138.399902
11/30/1987,2302.800049
12/31/1987,2409.699951
1/31/1988,2418.100098
2/29/1988,2544
3/31/1988,2602.899902
4/30/1988,2496.699951
5/31/1988,2671.5
6/30/1988,2678.899902
7/31/1988,2443.800049
8/31/1988,2441
9/30/1988,2627.399902
10/31/1988,2659.300049
11/30/1988,2687.399902
12/31/1988,3072.899902
1/31/1989,3012.699951
2/28/1989,3005
3/31/1989,3116
4/30/1989,2743.899902
5/31/1989,2273.899902
6/30/1989,2571.100098
7/31/1989,2508.600098
8/31/1989,2758.199951
9/30/1989,2725.300049
10/31/1989,2748.399902
11/30/1989,2836.600098
12/31/1989,2751.600098
1/31/1990,2952
2/28/1990,2997
3/31/1990,2951
4/30/1990,3132
5/31/1990,3278
6/30/1990,3438
7/31/1990,3087
8/31/1990,2760
9/30/1990,2990
10/31/1990,2965
11/30/1990,3024
12/31/1990,3243
1/31/1991,3552
2/28/1991,3745
3/31/1991,3588
4/30/1991,3707
5/31/1991,3668
6/30/1991,4009
7/31/1991,3998
8/31/1991,3956.699951
9/30/1991,4038.699951
10/31/1991,4149.799805
11/30/1991,4297.299805
12/31/1991,4601.799805
1/31/1992,4929.100098
2/29/1992,4938.299805
3/31/1992,5369.600098
4/30/1992,6080.200195
5/31/1992,6103.899902
6/30/1992,5881.100098
7/31/1992,5628.600098
8/31/1992,5505.399902
9/30/1992,6190.700195
10/31/1992,5810.600098
11/30/1992,5512.399902
12/31/1992,5751.399902
1/31/1993,6352
2/28/1993,6388.899902
3/31/1993,6830.5
4/30/1993,7372.200195
5/31/1993,7099.299805
6/30/1993,6989
7/31/1993,7549.700195
8/31/1993,7676.200195
9/30/1993,9329.099609
10/31/1993,9125.200195
11/30/1993,11888.40039
12/31/1993,11487
1/31/1994,10410.2002
2/28/1994,9029.900391
3/31/1994,8966.099609
4/30/1994,9553.599609
5/31/1994,8758.400391
6/30/1994,9482.799805
7/31/1994,9929.400391
8/31/1994,9521.200195
9/30/1994,9646.299805
10/31/1994,8466.299805
11/30/1994,8191
12/31/1994,7342.700195
1/31/1995,8327.5
2/28/1995,8587.700195
3/31/1995,8361
4/30/1995,9407.400391
5/31/1995,9206.5
6/30/1995,9453.400391
7/31/1995,9179.900391
8/31/1995,9646.299805
9/30/1995,9782.400391
10/31/1995,9813.299805
11/30/1995,10073.40039
12/31/1995,11359.7002
1/31/1996,11125.7002
2/29/1996,10957.2002
3/31/1996,10964.5
4/30/1996,11264.7002
5/31/1996,11020.90039
6/30/1996,10681.40039
7/31/1996,11159
8/31/1996,11902.40039
9/30/1996,12477.59961
10/31/1996,13393.90039
11/30/1996,13451.5
12/31/1996,13321.79981
1/31/1997,13398.7002
2/28/1997,12534.29981
3/31/1997,12903.29981
4/30/1997,14757.79981
5/31/1997,15196.79981
6/30/1997,16365.7002
7/31/1997,14135.2002
8/31/1997,15049.29981
9/30/1997,10623.79981
10/31/1997,10526.90039
11/30/1997,10722.79981
12/31/1997,9252.400391
1/31/1998,11480.7002
2/28/1998,11518.7002
3/31/1998,10383.67969
4/30/1998,8934.55957
5/31/1998,8543.099609
6/30/1998,7936.200195
7/31/1998,7275.040039
8/31/1998,7883.459961
9/30/1998,10154.94043
10/31/1998,10402.32031
11/30/1998,10048.58008
12/31/1998,9506.900391
1/31/1999,9858.490234
2/28/1999,10942.2002
3/31/1999,13333.2002
4/30/1999,12147.12012
5/31/1999,13532.13965
6/30/1999,13186.86035
7/31/1999,13482.76953
8/31/1999,12733.24023
9/30/1999,13256.9502
10/31/1999,15377.19043
11/30/1999,16962.09961
12/31/1999,15532.33984
1/31/2000,17169.43945
2/29/2000,17406.53906
3/31/2000,15519.29981
4/30/2000,14713.86035
5/31/2000,16155.78027
6/30/2000,16840.98047
7/31/2000,17097.50977
8/31/2000,15648.98047
9/30/2000,14895.33984
10/31/2000,13984.38965
11/30/2000,15095.53027
12/31/2000,16102.34961
1/31/2001,14787.87012
2/28/2001,12760.63965
3/31/2001,13386.04004
4/30/2001,13174.41016
5/31/2001,13042.53027
6/30/2001,12316.69043
7/31/2001,11090.48047
8/31/2001,9950.700195
9/30/2001,10073.96973
10/31/2001,11279.25
11/30/2001,11397.20996
12/31/2001,10725.29981
1/31/2002,10482.54981
2/28/2002,11032.91992
3/31/2002,11497.58008
4/30/2002,11301.94043
5/31/2002,10598.54981
6/30/2002,10267.36035
7/31/2002,10043.87012
8/31/2002,9072.209961
9/30/2002,9441.25
10/31/2002,10069.87012
11/30/2002,9321.290039
12/31/2002,9258.950195
1/31/2003,9122.660156
2/28/2003,8634.450195
3/31/2003,8717.219727
4/30/2003,9487.379883
5/31/2003,9577.120117
6/30/2003,10134.83008
7/31/2003,10908.99023
8/31/2003,11229.87012
9/30/2003,12190.09961
10/31/2003,12317.46973
11/30/2003,12575.94043
12/31/2003,13289.37012
1/31/2004,13907.03027
2/29/2004,12681.66992
3/31/2004,11942.95996
4/30/2004,12198.24023
5/31/2004,12285.75
6/30/2004,12238.03027
7/31/2004,12850.28027
8/31/2004,13120.03027
9/30/2004,13054.66016
10/31/2004,14060.04981
11/30/2004,14230.13965
12/31/2004,13721.69043
1/31/2005,14195.34961
2/28/2005,13516.87988
3/31/2005,13908.96973
4/30/2005,13867.07031
5/31/2005,14201.05957
6/30/2005,14880.98047
7/31/2005,14903.54981
8/31/2005,15428.51953
9/30/2005,14386.37012
10/31/2005,14937.13965
11/30/2005,14876.42969
12/31/2005,15753.13965
1/31/2006,15918.48047
2/28/2006,15805.04004
3/31/2006,16661.30078
4/30/2006,15857.88965
5/31/2006,16267.62012
6/30/2006,16971.33984
7/31/2006,17392.26953
8/31/2006,17543.05078
9/30/2006,18324.34961
10/31/2006,18960.48047
11/30/2006,19964.7207
12/31/2006,20106.41992
