Date,Open,High,Low,Close,Adj Close,Volume
1993-03-01,2861.899902,2980.899902,2833.000000,2878.699951,2878.699951,0
1993-03-31,2871.300049,2897.500000,2773.699951,2813.100098,2813.100098,0
1993-04-30,2813.100098,2869.199951,2772.199951,2840.699951,2840.699951,0
1993-05-31,2836.100098,2917.199951,2829.800049,2900.000000,2900.000000,0
1993-06-30,2901.500000,2939.500000,2801.199951,2926.500000,2926.500000,0
1993-07-31,2920.000000,3115.100098,2919.500000,3100.000000,3100.000000,0
1993-08-31,3099.500000,3099.500000,2975.000000,3037.500000,3037.500000,0
1993-09-30,3039.000000,3199.199951,3026.800049,3171.000000,3171.000000,0
1993-11-01,3170.699951,3176.199951,3050.600098,3166.899902,3166.899902,0
1993-12-01,3197.000000,3480.800049,3190.300049,3418.399902,3418.399902,0
1994-01-01,3418.399902,3496.100098,3355.300049,3491.800049,3491.800049,0
1994-02-01,3511.399902,3539.199951,3243.399902,3328.100098,3328.100098,0
1994-03-01,3322.899902,3328.800049,3061.899902,3086.399902,3086.399902,0
1994-03-31,3086.399902,3191.399902,3047.000000,3125.300049,3125.300049,0
1994-04-30,3125.300049,3157.500000,2925.000000,2970.500000,2970.500000,0
1994-05-31,2984.199951,3059.199951,2844.699951,2919.199951,2919.199951,0
1994-06-30,2914.100098,3132.800049,2906.199951,3082.600098,3082.600098,0
1994-07-31,3077.800049,3280.000000,3075.800049,3251.300049,3251.300049,0
1994-08-31,3243.600098,3253.399902,2986.000000,3026.300049,3026.300049,0
1994-09-30,3024.300049,3151.199951,2950.199951,3097.399902,3097.399902,0
1994-11-01,3081.500000,3168.100098,3010.100098,3081.399902,3081.399902,0
1994-12-01,3079.600098,3109.699951,2938.800049,3065.500000,3065.500000,0
1995-01-01,3065.500000,3084.399902,2949.399902,2991.600098,2991.600098,0
1995-02-01,3001.800049,3114.600098,2998.199951,3009.300049,3009.300049,0
1995-03-01,3020.000000,3185.600098,2958.600098,3137.899902,3137.899902,0
1995-03-31,3134.199951,3241.500000,3129.500000,3216.699951,3216.699951,0
1995-04-30,3212.800049,3360.800049,3211.199951,3319.399902,3319.399902,0
1995-05-31,3352.300049,3404.199951,3265.500000,3314.600098,3314.600098,0
1995-06-30,3310.199951,3487.800049,3300.399902,3463.300049,3463.300049,0
1995-07-31,3458.699951,3540.699951,3433.399902,3477.800049,3477.800049,0
1995-08-31,3484.699951,3587.000000,3474.600098,3508.199951,3508.199951,0
1995-09-30,3510.600098,3598.000000,3442.500000,3529.100098,3529.100098,0
1995-11-01,3517.500000,3671.000000,3493.000000,3664.300049,3664.300049,0
1995-12-01,3654.000000,3690.600098,3558.500000,3689.300049,3689.300049,0
1996-01-01,3689.300049,3767.399902,3645.300049,3759.300049,3759.300049,0
1996-02-01,3753.300049,3791.600098,3688.699951,3727.600098,3727.600098,0
1996-03-01,3729.500000,3792.500000,3629.100098,3699.699951,3699.699951,0
1996-03-31,3692.100098,3858.899902,3692.100098,3817.899902,3817.899902,0
1996-04-30,3816.899902,3829.399902,3707.300049,3747.800049,3747.800049,0
1996-05-31,3737.000000,3774.699951,3671.600098,3711.000000,3711.000000,0
1996-06-30,3710.399902,3790.000000,3612.600098,3703.199951,3703.199951,0
1996-07-31,3709.300049,3922.100098,3697.699951,3867.600098,3867.600098,0
1996-08-31,3873.699951,3994.100098,3835.800049,3953.699951,3953.699951,0
